"student","social","gender","take_exam","Fi","CBi","Vi","MApi","PApi","total_time","total_activity","qp_time","wa_time","qp_activity","wa_activity","total_time_be","total_activity_be","pretest","posttest","exam_norm","lgain_pp","lgain_pe"
"user0837","social",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0838","social",NA,"yes",NA,NA,NA,NA,NA,5071,145,4370,701,53,92,660,38,NA,0.55,0.84,NA,NA
"user0840","social",NA,"yes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.55,NA,NA
"user0877","social","male","yes",0.5,0.5,0.6,0.28,0.5,0,0,0,0,0,0,0,0,0.09,0.45,0.57,0.395604395604396,0.527472527472527
"user0878","social","male","yes",0.58,0.6,0.67,0.83,0.67,2948,425,2084,864,81,344,0,0,0.27,0.73,0.93,0.63013698630137,0.904109589041096
"user0879","social","male","yes",0.67,0.4,0.6,0.83,0.44,0,0,0,0,0,0,0,0,0.18,0.82,0.99,0.780487804878049,0.98780487804878
"user0880","social","male","yes",0.5,0.65,0.53,0.56,0.61,6080,766,4995,1085,157,609,0,0,0.36,0.45,0.71,0.140625,0.546875
"user0881","social","male","yes",0.5,0.55,0.6,0.5,0.83,0,0,0,0,0,0,0,0,0,NA,0.68,NA,0.68
"user0882","social","male","yes",0.83,0.65,0.6,1,1,7060,272,6537,523,151,121,0,0,0.18,0.73,1,0.670731707317073,1
"user0883","social","male","yes",0.75,0.75,0.73,0.89,0.89,3072,44,3072,0,44,0,256,7,0.09,0.64,0.97,0.604395604395604,0.967032967032967
"user0884","social","male","yes",0.58,0.55,0.73,0.5,0.56,1553,238,1170,383,32,206,44,1,0,0.36,0.84,0.36,0.84
"user0885","social","male","yes",0.58,0.3,0.67,0.78,0.67,783,93,626,157,13,80,783,93,0.27,0.45,0.7,0.246575342465753,0.589041095890411
"user0886","social","male","yes",0.58,0.65,0.67,0.89,0.56,0,0,0,0,0,0,0,0,0.09,NA,0.65,NA,0.615384615384615
"user0887","social","male","yes",0.67,0.8,0.93,0.67,0.78,0,0,0,0,0,0,0,0,0.27,NA,0.91,NA,0.876712328767123
"user0888","social","male","no",0.5,0.5,0.67,0.39,0.56,753,125,526,227,30,95,753,125,0.18,NA,-1,NA,NA
"user0889","social","male","yes",0.58,0.15,0.67,0.5,0.28,0,0,0,0,0,0,0,0,0.09,0.27,0.64,0.197802197802198,0.604395604395604
"user0890","social","male","yes",0.83,0.4,0.93,0.83,1,734,98,561,173,16,82,0,0,0.18,0.45,0.64,0.329268292682927,0.560975609756098
"user0891","social","male","yes",0.67,0.65,0.73,1,0.67,494,102,361,133,19,83,0,0,0.09,0.45,0.93,0.395604395604396,0.923076923076923
"user0892","social","male","yes",0.5,0.45,0.8,0.61,0.56,20118,1209,14815,5303,367,842,18459,1046,0.09,0.64,0.54,0.604395604395604,0.494505494505495
"user0893","social","male","yes",0.67,0.05,1,0.28,0.39,0,0,0,0,0,0,0,0,0.09,0.09,0.64,0,0.604395604395604
"user0894","social","male","no",0.5,0.15,0.67,0.78,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA
"user0895","social","male","yes",0.5,0.3,0.67,0.72,0.83,0,0,0,0,0,0,0,0,0.09,0.36,0.96,0.296703296703297,0.956043956043956
"user0896","social","female","yes",0.83,0.9,0.87,0.89,0.83,3155,460,1781,1374,41,419,3155,460,0.09,NA,0.87,NA,0.857142857142857
"user0897","social","male","yes",0.58,0.2,0.67,0.5,0.5,390,86,234,156,7,79,0,0,0.09,0.45,0.9,0.395604395604396,0.89010989010989
"user0898","social","male","yes",0.83,0.7,0.93,0.78,0.72,1549,271,863,686,25,246,0,0,0.18,0.45,0.39,0.329268292682927,0.25609756097561
"user0899","social","female","yes",0.83,0.75,0.93,0.83,0.56,10630,626,6667,3963,81,545,10630,626,0.27,0.91,0.9,0.876712328767123,0.863013698630137
"user0900","social","male","yes",0.75,0.85,0.87,0.83,0.78,1275,260,852,423,38,222,1214,256,0.91,0.91,0.89,0,-0.222222222222222
"user0901","social","male","no",0.33,0.1,0.6,0.72,0.28,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0902","social","female","yes",0.58,0.5,0.6,0.78,0.78,4905,624,3547,1358,101,523,4905,624,0.18,0.55,0.53,0.451219512195122,0.426829268292683
"user0903","social","male","yes",0.83,0.6,1,0.83,0.83,0,0,0,0,0,0,0,0,0.09,NA,0.77,NA,0.747252747252747
